id,name,model_name,price,price_currency,body_type,source,location,drive,mileage,mileage_unit,color,year_of_manufacture,annual_insurance,torque,cylinders,fuel_type,aspiration,engine_size,transmission,horse_power,seat_material,number_of_seats,heated_seats,air_conditioning,trimming,infotainment_system,phone_connectivity,auto_start_and_stop,keyless_entry_and_push_button_start,steering_mounted_paddle_shifts,urban_consumption,fuel_tank_capacity,highway_consumption,lane_assist,reverse_camera,adaptive_cruise_control,standard_cruise_control,antilock_braking_system,automatic_brake_hold_system,tyre_pressure_monitoring_system,number_of_airbags,gps_tracker
6718,Mazda CX5,Cx5,3181000,KES,SUV,Foreign Used,Japan,AWD,87000,KM,Maroon,2017,127240,185,4,Petrol,Natural,2500,Automatic,184,Leather,5,TRUE,Dual Zone,Polished Metal,Mazda Connect infotainment,TRUE,TRUE,TRUE,TRUE,10,56,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,TRUE
6716,Jaguar XJ,XJ,8230000,KES,Saloon,Foreign Used,United Kingdom,AWD,26000,Miles,Silver,2017,329200,700,6,Diesel,Turbo/Supercharger,3000,Automatic,300,Leather,5,TRUE,Multi Zone,Wood,Apple Car play,TRUE,TRUE,TRUE,TRUE,14,82,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE
6715,Mercedes Benz S300h,S300,6745000,KES,Saloon,Foreign Used,Japan,AWD,70000,KM,Black,2017,269800,500,4,Diesel,Turbo/Supercharger,2200,Automatic,231,Leather,5,TRUE,Multi Zone,Wood,Mercedes Command infotainment,TRUE,TRUE,TRUE,TRUE,18,70,22.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE
6714,Mini Clubman,Mini Clubman,1989000,KES,Hatchback,Foreign Used,Japan,2WD,90000,KM,Chocolate Brown,2017,79560,330,4,Diesel,Turbo/Supercharger,2000,Automatic,150,Fabric,5,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,22,48,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,TRUE
6713,Audi A6,A6,4499999,KES,Saloon,Foreign Used,Japan,AWD,71000,KM,Black,2017,177999,440,6,Petrol,Turbo/Supercharger,3000,Automatic,333,Leather,5,TRUE,Dual Zone,Wood,Audi MM1 infotainment,TRUE,TRUE,TRUE,TRUE,11,73,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE
6712,Audi A6,A6,3600000,KES,Saloon,Foreign Used,Japan,AWD,59000,KM,White,2017,144000,370,4,Petrol,Turbo/Supercharger,2000,Automatic,252,Leather,5,FALSE,Dual Zone,Wood,Audi MM1 infotainment,TRUE,TRUE,TRUE,TRUE,14,73,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE
6711,Nissan GTR,GTR,20668140,KES,Coupe,Foreign Used,Japan,AWD,19000,KM,Black,2020,826720,633,6,Petrol,Turbo/Supercharger,3800,Automatic,565,Leather,4,TRUE,Dual Zone,Carbon Fibre,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,7,74,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,TRUE
6710,Range Rover Vogue,Range Rover Vogue,13334700,KES,SUV,Foreign Used,United Kingdom,AWD,44000,Miles,Grey,2019,533388,625,6,Diesel,Turbo/Supercharger,3000,Automatic,275,Leather,5,TRUE,Multi Zone,Carbon Fibre,Apple Car play,TRUE,TRUE,TRUE,TRUE,10,86,13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE
6709,Mercedes Benz GLC 250,GLC,5985000,KES,SUV,Foreign Used,Japan,AWD,25000,KM,White,2018,239400,350,4,Petrol,Turbo/Supercharger,2000,Automatic,211,Leather,5,TRUE,Dual Zone,Wood,Mercedes Command infotainment,TRUE,TRUE,TRUE,TRUE,13,66,15,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,TRUE
6708,BMW X5,X5,4499999,KES,SUV,Kenyan Used,"Nairobi, Kenya",AWD,103000,KM,White,2015,180000,400,6,Petrol,,3000,Automatic,300,Leather,5,TRUE,Multi Zone,Polished Metal,BMW idrive infotainment,TRUE,TRUE,TRUE,TRUE,7,,9,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,TRUE
6707,Subaru WRX S4,WRX,3499999,KES,Saloon,Kenyan Used,"Nairobi, Kenya",AWD,84000,KM,84000,2016,140000,400,4,Petrol,Turbo/Supercharger,2000,Automatic,300,Leather,5,TRUE,Multi Zone,Polished Metal,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,10,,12,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,TRUE
6706,Mitsubishi Pajero,Pajero,899999,KES,SUV,Kenyan Used,"Nairobi, Kenya",4WD,194000,KM,Blue,1999,36000,293,4,Diesel,Turbo/Supercharger,2800,Automatic,123,Leather,7,FALSE,,,,FALSE,FALSE,FALSE,FALSE,7,,9,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE
6705,Subaru Levorg,Levorg,2499999,KES,Station Wagon,Kenyan Used,"Nairobi, Kenya",AWD,121000,KM,White,2017,100000,400,4,Petrol,Turbo/Supercharger,2000,Automatic,300,Leather,5,TRUE,Multi Zone,Polished Metal,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,10,,12,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,TRUE
6704,Nissan March,March,549999,KES,Hatchback,Kenyan Used,"Nairobi, Kenya",2WD,292000,KM,Black,2011,22000,105,3,Petrol,Natural,1200,Automatic,78,Fabric,5,FALSE,,Plastic,Touchscreen Infotainment,TRUE,FALSE,FALSE,FALSE,16,,18,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,TRUE
6703,Mercedes Benz S280,S280,1249999,KES,Saloon,Kenyan Used,"Nairobi, Kenya",2WD,215000,KM,Bronze,2003,86000,270,6,Petrol,Natural,2800,Automatic,201,Leather,5,TRUE,Multi Zone,Wood,Mercedes Command infotainment,TRUE,TRUE,TRUE,FALSE,8,,10,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5,TRUE
6702,Mitsubishi Outlander,Outlander,2349999,KES,SUV,Kenyan Used,"Nairobi, Kenya",4WD,99000,Miles,Red,2015,116000,360,4,Diesel,Turbo/Supercharger,2300,Automatic,147,Leather,7,TRUE,Multi Zone,Polished Metal,Touchscreen Infotainment,TRUE,TRUE,TRUE,TRUE,14,,16,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,TRUE
6700,Toyota Wish,Wish,599999,KES,Station Wagon,Kenyan Used,"Nairobi, Kenya",2WD,300000,KM,Silver,2005,25200,175,4,Petrol,Natural,1800,Automatic,134,Fabric,7,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,FALSE,FALSE,FALSE,11,,13,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,TRUE
6699,Toyota Hilux,Hilux,1899999,KES,Double Cab,Kenyan Used,"Nairobi, Kenya",4WD,141000,KM,Silver,2007,76000,390,4,Diesel,Turbo/Supercharger,3000,Automatic,168,Fabric,5,FALSE,Dual Zone,Plastic,Touchscreen Infotainment,TRUE,TRUE,FALSE,FALSE,9,,11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,TRUE
6698,Mercedes Benz GLC 250,GLC,6479369,KES,Coupe,Foreign Used,Japan,AWD,47000,KM,White,2018,259160,350,4,Petrol,Turbo/Supercharger,2000,Automatic,350,Leather,5,TRUE,Dual Zone,Polished Metal,Mercedes Command infotainment,TRUE,TRUE,TRUE,TRUE,12,66,14.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,TRUE
